"Year","State","Emissions","Primary.x","Elec.x","Use.x","Primary.y","Elec.y","Use.y"
2006,"Schleswig-Holstein",6.8,"5.2","27.6","206.1","5.2","27.6","206.1"
2006,"Thüringen",4.8,"15.4","12.3","107.9","15.4","12.3","107.9"
2007,"Baden-Württemberg",6.5,"8.7","11.5","149.1","8.7","11.5","149.1"
2007,"Bayern",5.7,"10.4","22.1","158.2","10.4","22.1","158.2"
2007,"Berlin",4.9,"2.2","0.8","79.3","2.2","0.8","79.3"
2007,"Brandenburg",22.7,"13.3","41.1","261","13.3","41.1","261"
2007,"Bremen",20.4,"3.8","5.1","242.1","3.8","5.1","242.1"
2007,"Hamburg",5.7,"5.2","2.8","140","5.2","2.8","140"
2007,"Hessen",6.4,"5.7","5.4","146.7","5.7","5.4","146.7"
2007,"Mecklenburg-Vorpommern",6,"20.2","46.9","103.1","20.2","46.9","103.1"
2007,"Nordrhein-Westfalen",16.1,"3.5","6.1","237.6","3.5","6.1","237.6"
2007,"Rheinland-Pfalz",6.2,"8.5","12.6","158.6","8.5","12.6","158.6"
2007,"Saarland",24.7,"2.5","2.3","287.3","2.5","2.3","287.3"
2007,"Sachsen",11,"6","11.5","147.5","6","11.5","147.5"
2007,"Sachsen-Anhalt",10.9,"13.2","34.3","204","13.2","34.3","204"
2007,"Schleswig-Holstein",6,"7.8","37.8","173.4","7.8","37.8","173.4"
2007,"Thüringen",4.5,"19.3","17.8","105.2","19.3","17.8","105.2"
2008,"Baden-Württemberg",6.7,"8.7","11.6","151.2","8.7","11.6","151.2"
2008,"Bayern",6.1,"10.1","22.6","162.9","10.1","22.6","162.9"
2008,"Berlin",5.2,"2.2","1.1","83.6","2.2","1.1","83.6"
2008,"Brandenburg",22.2,"13.2","39.8","255.3","13.2","39.8","255.3"
2008,"Bremen",19.6,"4.4","5.9","239.7","4.4","5.9","239.7"
2008,"Hamburg",5.7,"4.8","2.9","135.9","4.8","2.9","135.9"
2008,"Hessen",6.4,"5","5.5","173.9","5","5.5","173.9"
2008,"Mecklenburg-Vorpommern",6.5,"24","54","115.3","24","54","115.3"
2008,"Niedersachsen",8.6,"10.3","26.8","184.5","10.3","26.8","184.5"
2008,"Nordrhein-Westfalen",16,"3.6","4.7","232.3","3.6","4.7","232.3"
2008,"Rheinland-Pfalz",6.7,"8.1","13","165.8","8.1","13","165.8"
2008,"Saarland",22.2,"2.9","4.2","273.7","2.9","4.2","273.7"
2008,"Sachsen",10.9,"6.2","12","150.1","6.2","12","150.1"
2008,"Sachsen-Anhalt",11.3,"14.2","39","209.3","14.2","39","209.3"
2008,"Schleswig-Holstein",6.6,"9.4","45.1","152.7","9.4","45.1","152.7"
2008,"Thüringen",4.8,"18.9","18","109.6","18.9","18","109.6"
2009,"Baden-Württemberg",6.1,"9.3","12.3","143.8","9.3","12.3","143.8"
2009,"Bayern",5.9,"10.7","24.6","160.3","10.7","24.6","160.3"
2009,"Berlin",5,"2.9","2.1","82.2","2.9","2.1","82.2"
2009,"Brandenburg",20.9,"14.7","43","247.2","14.7","43","247.2"
2009,"Bremen",18.8,"5","6.2","230.9","5","6.2","230.9"
2009,"Hamburg",5.8,"5.1","2.9","133.4","5.1","2.9","133.4"
2009,"Hessen",6.2,"6.1","6.5","145.8","6.1","6.5","145.8"
2009,"Mecklenburg-Vorpommern",5.7,"26.4","54.5","110.8","26.4","54.5","110.8"
2009,"Niedersachsen",8.2,"11.1","27","180.7","11.1","27","180.7"
2009,"Nordrhein-Westfalen",14.6,"3.7","8","234.9","3.7","8","234.9"
2009,"Rheinland-Pfalz",6.4,"9.2","14.4","154.7","9.2","14.4","154.7"
2009,"Saarland",17.9,"2.9","4","228.6","2.9","4","228.6"
2009,"Sachsen",11.1,"6.8","13.2","149.9","6.8","13.2","149.9"
2009,"Sachsen-Anhalt",11.7,"14.9","42.3","209.9","14.9","42.3","209.9"
2009,"Schleswig-Holstein",6.5,"10.2","47.7","149","10.2","47.7","149"
2009,"Thüringen",4.7,"19.1","19.8","106.3","19.1","19.8","106.3"
2010,"Baden-Württemberg",6.2,"10.5","14","144","10.5","14","144"
2010,"Bayern",6.1,"12.9","26.4","166.2","12.9","26.4","166.2"
2010,"Berlin",5.5,"3.2","2.8","88.9","3.2","2.8","88.9"
2010,"Brandenburg",22,"16.8","50.6","261.2","16.8","50.6","261.2"
2010,"Bremen",21,"4.9","7.2","254.2","4.9","7.2","254.2"
2010,"Hamburg",6.4,"4.4","2.6","143.7","4.4","2.6","143.7"
2010,"Hessen",6.3,"6.7","7.8","165.8","6.7","7.8","165.8"
2010,"Mecklenburg-Vorpommern",6.6,"22.6","56.7","117.6","22.6","56.7","117.6"
2010,"Niedersachsen",8.5,"12.2","27.5","186.8","12.2","27.5","186.8"
